TransactionID,CustomerID,CustomerDOB,CustGender,CustLocation,CustAccountBalance,TransactionDate,TransactionTime,TransactionAmount (INR)
T53,C3815912,02-11-1994,M,MUMBAI,2058.42,05-08-2016,141853,519
T54,C8837044,20-11-1988,F,LUDHIANA,8842.13,05-08-2016,141704,100
T55,C4237628,10-04-1987,M,NOIDA,196.83,05-08-2016,165658,150
T56,C1516160,02-10-1990,M,GURGAON,17070.89,05-08-2016,165657,107
T57,C4415955,07-12-1994,M,AGRA,2502.74,05-08-2016,165911,1008.63
T58,C3932235,20-08-1991,M,SHAHJAHANPUR,91.66,05-08-2016,202838,110
T59,C5623837,07-08-1984,M,DELHI,947.23,05-08-2016,202943,726
T60,C7415323,06-03-1989,M,DIST RAIGAD PANVEL,10253.21,05-08-2016,202608,4387
T61,C7642737,07-05-1988,M,DEHRADUN,27852.19,05-08-2016,202725,1500
T62,C2431680,11-04-1975,F,BANGALORE,13138.22,05-08-2016,202509,412.2
T63,C1130989,22-10-1990,M,PUNE,250.26,05-08-2016,105850,60
T64,C3928242,01-06-1989,M,JAIPUR,10067.44,05-08-2016,202657,262
T65,C2936517,17-04-1989,F,HYDERABAD,23952.37,04-08-2016,83144,35
T66,C1040842,07-09-1991,M,MUMBAI,26387.17,04-08-2016,83155,1
T67,C8417574,17-07-1990,F,MUMBAI,224685.48,04-08-2016,12648,339.92
T68,C6730370,01-01-1994,M,GODDA,13968.07,04-08-2016,202956,101
T69,C2726074,02-10-1985,F,THANE,395743.6,01-08-2016,180455,9746.5
T70,C8017865,14-03-1982,F,DELHI,87884.2,01-08-2016,180546,142
T71,C8932791,10-09-1983,M,REWARI (HARYANA),5511.73,01-08-2016,173747,6259.72
T72,C2725826,15-03-1980,M,BANGALORE,21291.71,01-08-2016,173940,213
T73,C6694517,10-08-1977,M,GURGAON,12903.39,01-08-2016,180818,666
T74,C7527844,16-02-1982,M,BANGALORE,20.63,01-08-2016,180822,3998
T75,C2016883,20-08-1994,F,NELLORE,5922.11,01-08-2016,194114,507
T76,C5930363,20-08-1994,M,ADIPUR,2.75,01-08-2016,194117,800
T77,C1021343,23-02-1980,M,MUMBAI,134698.04,01-08-2016,194733,467
T78,C5529374,24-06-1984,M,GURGAON,15448.95,01-08-2016,141850,98
T79,C3013442,30-10-1990,M,NEW DELHI,27818.65,01-08-2016,204009,57
T80,C6612422,25-05-1967,M,DELHI,257966.29,01-08-2016,204252,195.64
T81,C8342660,04-05-1967,M,DUBAI,6190.71,01-08-2016,210610,878
T82,C4824547,05-07-1984,F,ALLAHABAD,34574.86,01-08-2016,203217,326
T83,C1711530,15-02-1992,M,DELHI,8797.55,01-08-2016,220818,2997.02
T84,C8640537,29-08-1990,F,BATHINDA,2988.21,01-08-2016,220825,1642
T85,C3839727,20-01-1983,M,GHAZIABAD,21868.16,06-08-2016,90811,500
T86,C2715454,01-05-1983,M,NASHIK,13421.46,06-08-2016,32822,11
T87,C5931634,15-08-1995,F,CHENNAI,1942.83,06-08-2016,121618,28
T88,C7918237,03-09-1974,M,JAMMU,23302.14,06-08-2016,122039,2200
T89,C1625292,18-11-1988,F,AURANGABAD,1880.1,06-08-2016,121749,1499
T90,C2211527,13-09-1984,M,BANGALORE,121767.71,06-08-2016,120156,288
T91,C6030281,03-06-1985,M,DELHI,6584.77,06-08-2016,144841,100
T92,C1925215,03-03-1978,F,BANGALORE,100371.41,06-08-2016,165330,4000
T93,C6040326,09-02-1992,M,JABALPUR,35990.54,06-08-2016,165536,930
T94,C5232732,28-04-1972,M,NEW DELHI,7330.62,06-08-2016,170022,2813.62
T95,C1616335,17-05-1981,M,MUMBAI,98097.5,06-08-2016,170236,787.98
T96,C4226473,25-05-1988,M,KASHIPUR,4001.86,06-08-2016,162303,96
T97,C3232257,15-10-1994,M,ETAH,78.33,06-08-2016,174150,179
T98,C1717631,14-07-1987,M,NEW DELHI,14916.95,06-08-2016,174346,830
T99,C7130627,10-06-1989,F,DELHI,62706.81,06-08-2016,182434,3380
T100,C1713934,18-09-1977,F,KOLKATA,22588.09,06-08-2016,182603,810
T101,C2742048,29-04-1986,F,NEW DELHI,37588.84,06-08-2016,182613,1473.5
T102,C4953770,27-10-1986,M,VADODARA,96.2,06-08-2016,182741,1897
T103,C6427021,01-04-1981,M,DELHI,31121.47,06-08-2016,182927,974
T104,C7833983,30-11-1987,F,TIRUPUR,2298.51,06-08-2016,90053,50
T105,C7924053,15-04-1971,F,KOLKATA,77587.52,06-08-2016,185409,500
T106,C7118047,27-08-1967,M,DELHI,76185.83,06-08-2016,200633,1826
T107,C5836729,01-05-1977,M,THANE,3214.87,06-08-2016,203330,2898.78
T108,C5712211,06-11-1981,M,KOLKATA,755133.35,06-08-2016,203329,1803
T109,C5910145,14-10-1977,M,GURGAON,27388.25,06-08-2016,203527,205
T110,C8311768,06-03-1990,M,SURAT,27552.35,06-08-2016,225427,164
T111,C4417481,20-04-1993,M,BANGALORE,40664.53,06-08-2016,230002,2245.95
T112,C4974913,31-07-1992,M,NAGO THANE,12.01,06-08-2016,225941,59
T113,C3911031,16-10-1989,F,KARUR DT,116592.57,05-08-2016,110647,1480
T114,C7641090,15-06-1991,M,CHITTO0R,8588.5,05-08-2016,110551,1
T115,C7317029,19-03-1992,M,K V RANGAREDDY,33.01,05-08-2016,105532,40
T116,C4232113,16-04-1991,M,MUMBAI,172.63,09-08-2016,175100,599
T117,C5024473,05-07-1983,M,INDORE,139144.83,09-08-2016,183236,2066.74
T118,C4932115,12-06-1987,F,BANGALORE,75348.06,09-08-2016,183144,250
T119,C2611254,21-12-1984,M,OFF CUBBON ROAD BANGALORE,241139.36,09-08-2016,183616,25
T120,C6932571,24-01-1989,M,BANGALORE,6023.36,09-08-2016,183957,478
T121,C8724471,07-05-1986,M,DELHI,654.36,09-08-2016,183958,1000
T122,C4619519,23-03-1988,M,THANE,140830.97,09-08-2016,201148,895
T123,C1127458,27-09-1986,M,NOIDA,23541.54,09-08-2016,201338,500
T124,C4117761,15-01-1989,M,BANGALORE,5337.59,09-08-2016,201614,385
T125,C8441772,20-04-1982,F,GURGAON,51939.21,09-08-2016,194915,457
T126,C2024260,15-01-1987,M,PIMPALI,87839.68,09-08-2016,194916,1747
T127,C7785966,10-07-1991,M,GURGAON,122636.69,09-08-2016,143958,60
T128,C5027040,23-03-1984,M,PUMP HINJEWADI PUNE,12.54,09-08-2016,224849,200
T129,C2417034,22-02-1992,F,KANJURMARG EAST,923.01,08-08-2016,65118,25
T130,C1642073,12-10-1982,M,DELHI,440199.11,08-08-2016,65316,127
T131,C2511417,26-02-1992,M,NEW DELHI,11850.45,08-08-2016,70603,1150
T132,C6133064,28-07-1991,M,HYDERABAD,25963.21,08-08-2016,52256,155
T133,C7614444,03-04-1991,M,SOUTH 24 PARGANAS,19.83,08-08-2016,110319,40
T134,C5343690,28-04-1991,F,GURGAON,65486.49,04-08-2016,95925,250
T135,C1441611,18-04-1989,M,MUMBAI,171927.54,04-08-2016,95352,150
T136,C1611437,01-07-1989,M,KOLKATA,32855.8,04-08-2016,43049,75
T137,C1537466,25-10-1990,F,MIRABHAYANDER THANE MIRA ROAD,12783.53,04-08-2016,100850,50
T138,C4234628,18-03-1988,M,MUMBAI,3186.2,04-08-2016,95332,10885
T139,C4325284,16-03-1987,M,MUMBAI,22771.72,04-08-2016,165239,530.6
T140,C8430783,13-12-1987,F,GHAZIABAD,20594.64,04-08-2016,164042,555
T141,C6419838,25-11-1990,M,MUMBAI,22880.95,04-08-2016,164042,5757
T142,C2442760,21-02-1985,F,GHAZIABAD,35790.14,04-08-2016,182453,777
T143,C5236621,24-10-1996,M,JAIPUR,45299.78,04-08-2016,181251,2124
T144,C7226281,17-06-1984,M,HYDERABAD,1551.84,04-08-2016,155250,20
T145,C2635440,16-01-1932,M,MUMBAI,228872.29,04-08-2016,160124,405.52
T146,C5940325,24-08-1994,M,SAHARANPUR,43555.69,04-08-2016,160125,355
T147,C1272724,29-06-1982,M,CHANDIGARH,4402.08,09-08-2016,224655,245
T148,C5034425,09-11-1989,M,DELHI,54033.57,09-08-2016,25955,360
T149,C1011359,05-06-1994,M,CHENNAI,179.99,09-08-2016,30619,955
T150,C6324674,22-09-1991,M,PUNE,29436.97,09-08-2016,1532,70
T151,C8737387,03-08-1989,M,GURGAON,12010.4,09-08-2016,225034,299
T152,C3334638,1/1/1800,M,PUNE,700,09-08-2016,24912,1500
T153,C7917762,21-01-1985,F,BANGALORE,43375.42,09-08-2016,24933,1986.5
T154,C8037570,20-06-1990,M,MUMBAI,8111.52,04-08-2016,200859,1274
T155,C6322261,14-09-1987,M,ALLAHABAD,4311.29,04-08-2016,201344,149
T156,C6943550,11-10-1987,M,COMPLEX GURGAON,2495.98,04-08-2016,201543,110
T157,C8520931,26-04-1959,M,PUNE,156103.2,04-08-2016,201736,2297
T158,C7742540,06-09-1979,M,PUNE,2502.37,04-08-2016,195951,170
T159,C7231945,09-05-1992,M,MUMBAI,12.97,04-08-2016,200151,101
T160,C7530036,02-02-1979,F,GURGAON,20892.73,09-08-2016,44802,1665
T161,C2837736,31-12-1989,M,PARK PHASE-I HINJEWADI PUNE,191276.9,09-08-2016,110837,217
T162,C1268950,15-06-1991,F,MUMBAI,21756.67,09-08-2016,93907,500
T163,C7410760,01-01-1988,M,GULBARGA,5.37,09-08-2016,94603,1020
T164,C7840374,1/1/1800,M,GHAZIABAD,24824.83,09-08-2016,115520,5000
T165,C2215655,11-03-1990,M,GURGAON,171.65,09-08-2016,115655,300
T166,C5054958,02-12-1986,F,KANPUR,5391.22,09-08-2016,120616,1800
T167,C8695466,03-01-1993,M,NAVI MUMBAI,43571.2,09-08-2016,172155,2074
T168,C1437248,22-07-1993,F,GURGAON,116584.57,09-08-2016,172158,210
T169,C8891737,08-07-1991,M,NEW DELHI,51694.63,09-08-2016,173007,100
T170,C6125425,06-10-1991,M,MUMBAI,119.47,09-08-2016,172927,500
T171,C4023754,23-04-1996,M,VISAKHAPATNAM,0.74,12-08-2016,83107,100
T172,C4332787,29-09-1990,F,NEW DELHI,63972.18,12-08-2016,83118,451
T173,C5220931,30-01-1990,F,HYDERABAD,9526.7,12-08-2016,90104,100
T174,C1840488,29-04-1989,F,DELHI,75889.12,12-08-2016,82319,599
T175,C2918640,16-05-1989,M,HISAR,41319.3,12-08-2016,122132,825
T176,C8214849,14-05-1990,M,LUCKNOW,8.49,12-08-2016,121534,80
T177,C5698953,1/1/1800,,NAVI MUMBAI,8512.28,12-08-2016,155727,3449
T178,C5710590,21-09-1980,M,AHMEDABAD,3042.12,12-08-2016,155835,2830.5
T179,C4631217,25-08-1996,F,HYDERABAD,27940.79,12-08-2016,154412,1328.72
T180,C4829664,01-01-1981,M,GURGAON,190073.86,12-08-2016,171658,50
T181,C8934869,22-08-1992,M,MUMBAI,10074.33,12-08-2016,55127,8.99
T182,C4834518,22-01-1988,F,FORT MUMBAI,8179.54,12-08-2016,182331,456
T183,C1638021,1/1/1800,M,NEW DELHI,9702.54,12-08-2016,185134,2580
T184,C5523764,21-09-1979,M,PATHANKOT,11.98,12-08-2016,182656,2117
T185,C1315664,11-02-1992,F,SUNDARGARH,4597.56,08-08-2016,183949,64
T186,C8231241,19-06-1989,M,NEW DELHI,407935.95,08-08-2016,184034,500
T187,C6323747,10-08-1988,M,DELHI,556731.79,08-08-2016,184232,26991
T188,C4742524,25-04-1986,M,MARGAO,22660.58,08-08-2016,203329,851
T189,C7537492,28-11-1981,M,NAVI MUMBAI,5738.43,08-08-2016,194326,600
T190,C1516222,17-04-1988,M,DHULE,17449.33,08-08-2016,194955,306
T191,C1931276,1/1/1800,M,MOHALI,114.92,08-08-2016,215840,390
T192,C4138629,27-04-1994,M,BANGALORE,0.7,08-08-2016,220036,150
T193,C6417852,23-01-1984,M,BANGALORE NORTH,26239,08-08-2016,220542,380
T194,C4325361,1/1/1800,M,KOLKATA,133203.58,07-08-2016,93946,100000
T195,C5633923,12-04-1991,M,NOIDA,359.23,07-08-2016,94712,60
T196,C1938713,10-01-1967,M,LUCKNOW,268685.24,07-08-2016,121356,1220
T197,C7512180,11-11-1978,M,ZIRAKPUR,1130141.97,07-08-2016,115829,614
T198,C3720487,27-09-1975,M,JAIPUR,1223.92,07-08-2016,115644,69
T199,C8380118,20-04-1974,M,SURYAPET,28758.9,07-08-2016,120943,980
T200,C5922155,24-07-1988,M,BHIWANDI,10492.25,07-08-2016,125130,148
T201,C2440683,15-09-1992,M,DELHI,1123.68,07-08-2016,125130,440
T202,C6297162,15-08-1993,M,DELHI,4546.07,07-08-2016,123126,148
T203,C6276018,19-08-1989,F,HYDERABAD,104.57,07-08-2016,123129,2134.4
T204,C6370750,08-04-1980,M,THANE,33661.57,07-08-2016,122857,496.07
T205,C7534237,04-09-1985,M,RAJKOT,1133.27,07-08-2016,144525,100
T206,C3881215,15-06-1993,M,CHENNAI,4650.59,07-08-2016,150344,192
T207,C7675278,1/1/1800,M,NOIDA,1867210.51,07-08-2016,144436,137890
T208,C6814469,16-06-1984,M,NOIDA,132699.5,07-08-2016,170456,500
T209,C3135066,02-10-1981,F,MUMBAI,28710.33,07-08-2016,165130,127.8
T210,C1726754,23-02-1988,M,BANGALORE,6130.16,07-08-2016,165812,200
T211,C5067828,04-01-1991,F,GHAZIABAD,46936.18,07-08-2016,170103,5887
T212,C8121828,19-04-1996,M,AMBEDKAR NAGAR,84.91,07-08-2016,192751,88
T213,C8426486,01-07-1989,F,CHENNAI,13279.12,07-08-2016,193120,323.72
T214,C5117177,08-07-1984,F,DELHI,85722.72,07-08-2016,193122,1378
T215,C1719155,06-02-1972,M,PURI,10.5,07-08-2016,140123,1131
T216,C7931754,31-05-1988,M,MUMBAI,108913.62,12-08-2016,63631,500
T217,C7034179,13-12-1985,F,BANGALORE,5117.84,12-08-2016,63004,15
T218,C7212335,26-05-1986,M,NAGAI DT,21457.34,12-08-2016,55544,100
T219,C5413870,10-12-1971,M,THANE,17920.6,21-10-2016,153145,200
T220,C2435753,17-12-1980,M,NEW DELHI,45812.85,21-10-2016,153910,518
T221,C4830619,16-07-1993,M,HYDERABAD,5795.3,21-10-2016,110148,203.12
T222,C2880664,22-07-1989,M,BANGALORE,76385.67,21-10-2016,151926,1294
T223,C9022645,nan,M,BHIWANDI,1730.3,21-10-2016,150814,4000
T224,C2213811,13-12-1987,F,HYDERABAD,16431.3,21-10-2016,165639,1119
T225,C7541566,21-12-1992,M,CHITTO0R,2.87,21-10-2016,165644,40
T226,C2429086,13-02-1979,M,NEW DELHI,26413.93,21-10-2016,165644,510
T227,C6918371,25-05-1966,F,KERALA,801229.49,21-10-2016,161925,1550
T228,C7527049,17-04-1966,M,SURAT,5407.86,21-10-2016,162705,149
T229,C6058483,04-06-1990,M,GHINGHARTOLA TEH BAGESHWAR DIST,4044.37,21-10-2016,162707,40
T230,C4456638,19-07-1967,F,NEW DELHI,36278.83,21-10-2016,160047,500
T231,C2811892,16-03-1989,M,MUMBAI,344.25,21-10-2016,160048,220
T232,C7823561,09-02-1991,M,MUMBAI,3875.77,21-10-2016,160125,30
T233,C6520033,12-03-1989,M,MUMBAI,121747.74,21-10-2016,152746,200
T234,C2110492,05-07-1983,F,BANGALORE,40366.35,21-10-2016,153030,4200
T235,C4217328,19-09-1988,M,BANGALORE,15693.31,21-10-2016,160043,200
T236,C6927275,10-11-1986,M,CHENNAI,44164.97,21-10-2016,151615,3142
T237,C2042372,24-08-1985,F,NOIDA,121821.27,21-10-2016,151650,1219.04
T238,C3727411,21-02-1987,F,ROURKELA,167.1,21-10-2016,150740,199
T239,C5136863,24-06-1987,M,MUPPALLA GUNTUR,6209.42,21-10-2016,170612,708.05
T240,C2434983,29-11-1988,M,MUMBAI,930.8,21-10-2016,165854,100
T241,C1626454,05-08-1973,M,MUMBAI,25296.5,21-10-2016,165639,2000
T242,C1316616,26-05-1966,F,NEWDELHI,20422.76,21-10-2016,155655,800
T243,C5042661,16-03-1974,F,NEW DELHI,15147.88,21-10-2016,153545,1000
T244,C4531588,31-10-1993,F,DELHI,2257.58,21-10-2016,145417,460
T245,C5528968,1/1/1800,M,PIPARIYA,5724.5,21-10-2016,145424,4478
T246,C4814390,01-10-1971,F,MIRA ROAD E,78122.46,21-10-2016,150436,47290
T247,C6437438,22-05-1983,F,BHUBANESHWAR,324551.5,21-10-2016,151154,25000
T248,C8738676,1/1/1800,M,RAJPURA,362200.72,21-10-2016,151251,53000
T249,C1812573,14-01-1987,F,SAHARANPUR,41268.37,21-10-2016,151201,35
T250,C8915718,26-06-1986,F,PANCHKULA,22802.23,21-10-2016,145515,100
T251,C5334280,20-08-1974,M,ROURKELA,13996.1,21-10-2016,155146,100
T252,C5920074,26-10-1983,F,FARIDABAD,48587.19,21-10-2016,150848,1595
T253,C1733292,04-11-1989,M,CHENNAI,174684.91,21-10-2016,150848,283
T254,C6230681,19-11-1989,F,BANGALORE,7948.27,21-10-2016,171343,68
T255,C1977592,30-10-1993,M,JALANDHAR,155684.44,21-10-2016,152514,3034.5
T256,C4418491,05-03-1990,F,DELHI,17555.91,21-10-2016,162522,110
T257,C5212180,18-03-1986,F,MUMBAI,168034.54,21-10-2016,161714,10
T258,C5227319,18-05-1980,F,WEST MUMBAI,4459.73,21-10-2016,152525,2870
T259,C9016392,24-08-1990,M,DELHI,9236.65,21-10-2016,164132,259
T260,C3531473,03-12-1989,M,KOLKATA,13592.65,21-10-2016,154628,1128.37
T261,C7340149,28-06-1977,M,GWALIOR,134969.65,21-10-2016,152653,2200
T262,C8091089,10-04-1973,M,INDORE,7967.47,21-10-2016,152237,330
T263,C7878838,1/1/1800,M,SECTOR 21 KHARGHAR NAVI MUMBAI,444234.73,21-10-2016,145620,201
T264,C8917722,1/1/1800,M,GURGAON,16369.59,21-10-2016,171139,30990
T265,C8627747,19-02-1983,F,PUNE,9158.59,21-10-2016,171417,899
T266,C5312019,23-04-1994,M,MUMBAI,1318.31,21-10-2016,152802,110
T267,C7621186,12-03-1984,M,THANE,1629.89,21-10-2016,160005,500
T268,C7832128,1/1/1800,F,PUNE,7211.41,21-10-2016,155702,4740
T269,C8910280,17-07-1991,M,NEW DELHI,17146.97,21-10-2016,154907,200
T270,C2526046,07-01-1988,F,KOLKATA,31369.53,21-10-2016,151510,1735
T271,C2632615,18-02-1999,M,BAGHPAT,10266.36,21-10-2016,152328,327
T272,C2822770,1/1/1800,M,NEW DELHI,1426.19,21-10-2016,152908,6652.72
T273,C8439216,06-04-1993,M,GURGAON,10016.68,21-10-2016,151032,412.65
T274,C6432618,12-08-1987,M,BANGALORE,394220.21,21-10-2016,151407,42
T275,C5310729,16-01-1983,M,NOIDA,16475.24,21-10-2016,154322,128
T276,C5741387,02-07-1984,F,KOLKATA,56450.72,21-10-2016,150740,722
T277,C6676689,02-05-1983,F,BANGALORE,56736.02,21-10-2016,162210,1488
T278,C7472456,17-03-1992,F,BANGALORE,4341.39,21-10-2016,145841,50
T279,C3117918,06-01-1985,M,PUNE,181.22,21-10-2016,170239,200
T280,C1837362,15-08-1965,F,NEW DELHI,46278.49,21-10-2016,153618,1300
T281,C1428060,27-06-1986,M,NOIDA,38506.22,21-10-2016,152918,610
T282,C7629962,18-05-1982,F,RAJPURA,28012.42,21-10-2016,153203,655
T283,C7921623,18-07-1988,M,AMBALA,100780.55,21-10-2016,153948,1203
T284,C5129934,17-05-1985,F,ZONE WHITEFIELD BANGALORE,36724.28,21-10-2016,151743,600
T285,C7327571,19-04-1985,M,NEW DELHI,78479.33,21-10-2016,163453,18
T286,C3460025,26-06-1991,M,GORAKHPUR,28185.38,21-10-2016,163704,1720
T287,C7812071,21-11-1993,M,NEW DELHI,8585.51,21-10-2016,150606,1150
T288,C1728525,16-03-1991,M,MUMBAI,462.12,21-10-2016,150850,2647
T289,C4636775,23-09-1986,M,MOHALI,390.04,21-10-2016,150850,567
T290,C3871476,12-09-1986,F,DELHI,71403.21,21-10-2016,151129,1000
T291,C5122418,10-10-1985,M,CHENNAI,52608.41,21-10-2016,151910,11364
T292,C8920230,02-08-1972,M,GURGAON,30809.31,21-10-2016,152114,350
T293,C4336382,19-07-1978,M,GHAZIABAD,25419.25,21-10-2016,171125,1890
T294,C7058034,06-03-1992,F,CHENNAI,184680.72,21-10-2016,150915,50
T295,C5411869,24-12-1999,M,BARAMATI,7486.12,21-10-2016,151037,1000
T296,C6952840,05-11-1981,M,DELHI,63.58,21-10-2016,165950,634.12
T297,C8732711,09-02-1979,F,YAMUNANAGAR,82130.58,21-10-2016,165100,1423
T298,C7421711,04-05-1988,M,NEW DELHI,32511.6,21-10-2016,155658,1870
T299,C3151961,10-01-1987,M,NEW DELHI,7336.76,21-10-2016,55209,50
T300,C7338641,24-07-1982,M,GURGAON,60659.23,21-10-2016,152729,2968
T301,C4318459,13-12-1988,F,GHAZIABAD,25471.44,21-10-2016,170828,620
T302,C7325318,07-03-1987,M,MANGALORE,72118.89,21-10-2016,155949,699
T303,C7136280,06-01-1984,M,TALUK BANGALORE,133.8,21-10-2016,155952,2400
T304,C4026349,1/1/1800,M,NEW DELHI,150501.26,21-10-2016,150600,357
T305,C3418523,12-07-1982,M,LUCKNOW,951.07,21-10-2016,163142,21060
T306,C7118840,29-05-1994,M,GUNTUR,5393.9,21-10-2016,152024,45
T307,C9045422,13-06-1987,M,FIROZABAD,96798.63,21-10-2016,153044,550
T308,C2324371,09-11-1941,M,PONDICHERRY,5950.17,21-10-2016,153920,969
T309,C7119722,15-04-1992,M,RAIGAD,9464.85,21-10-2016,152550,30
T310,C4111528,20-01-1996,M,BULANDSHAHR,342.98,21-10-2016,152749,50
T311,C4241947,21-03-1991,F,HYDERABAD,2540.13,21-10-2016,152752,94
T312,C1851438,29-09-1985,F,NEW DELHI,17907.01,21-10-2016,153745,400
T313,C3537555,06-04-1984,M,MUMBAI,9.57,21-10-2016,153910,221.75
T314,C8046459,25-11-1954,M,THRISSUR,137410.23,21-10-2016,153048,36500
T315,C4637288,25-10-1993,F,CHENNAI,812.53,21-10-2016,150427,25
T316,C3126340,03-06-1981,M,KOLKATA,177950.63,21-10-2016,150431,865
T317,C7358678,27-04-1970,M,MOHALI,5802.91,21-10-2016,145900,695
T318,C6533711,08-02-1992,M,PUNE,6090.05,21-10-2016,145918,50
T319,C7229966,16-06-1988,M,DELHI,17761.95,21-10-2016,145520,600
T320,C8340771,13-09-1989,F,BANGALORE,9643.67,21-10-2016,164545,550
T321,C7412163,17-10-1986,M,MUMBAI,43114.86,21-10-2016,155721,2299
T322,C7077319,30-05-1985,M,MOHALI,176012.36,21-10-2016,154615,222
T323,C5113983,26-08-1996,M,SONIPAT,10498.91,21-10-2016,155125,2249
T324,C1842088,31-12-1986,F,MUMBAI,179659.4,21-10-2016,154626,999
T325,C5115757,29-05-1975,M,BANGALORE,541701.53,21-10-2016,154305,1512.75
T326,C2025386,1/1/1800,M,PANCHKULA,161886.6,21-10-2016,152051,500
T327,C2831424,29-08-1984,M,THANE,21700.36,21-10-2016,170329,145
T328,C5141914,05-01-1981,F,NEW DELHI,9372.35,21-10-2016,161539,343
T329,C6842357,29-10-1981,F,MUMBAI,55878.83,21-10-2016,150852,6129
T330,C8732168,21-02-1990,M,GUWAHATI,32.83,21-10-2016,150854,50
